,2017/1/3,2017/1/4,2017/1/5,2017/1/6,2017/1/9,2017/1/10,2017/1/11,2017/1/12,2017/1/13,2017/1/16,2017/1/17,2017/1/18,2017/1/19,2017/1/20,2017/1/23,2017/1/24,2017/1/25,2017/1/26,2017/2/3,2017/2/6,2017/2/7,2017/2/8,2017/2/9,2017/2/10,2017/2/13,2017/2/14,2017/2/15,2017/2/16,2017/2/17,2017/2/20,2017/2/21,2017/2/22,2017/2/23,2017/2/24,2017/2/27,2017/2/28,2017/3/1,2017/3/2,2017/3/3,2017/3/6,2017/3/7,2017/3/8,2017/3/9,2017/3/10,2017/3/13,2017/3/14,2017/3/15,2017/3/16,2017/3/17,2017/3/20,2017/3/21,2017/3/22,2017/3/23,2017/3/24,2017/3/27,2017/3/28,2017/3/29,2017/3/30,2017/3/31,2017/4/5,2017/4/6,2017/4/7,2017/4/10,2017/4/11,2017/4/12,2017/4/13,2017/4/14,2017/4/17,2017/4/18,2017/4/19,2017/4/20,2017/4/21,2017/4/24,2017/4/25,2017/4/26,2017/4/27,2017/4/28,2017/5/2,2017/5/3,2017/5/4,2017/5/5,2017/5/8,2017/5/9,2017/5/10,2017/5/11,2017/5/12,2017/5/15,2017/5/16,2017/5/17,2017/5/18,2017/5/19,2017/5/22,2017/5/23,2017/5/24,2017/5/25,2017/5/26,2017/5/31,2017/6/1,2017/6/2,2017/6/5,2017/6/6,2017/6/7,2017/6/8,2017/6/9,2017/6/12,2017/6/13,2017/6/14,2017/6/15,2017/6/16,2017/6/19,2017/6/20,2017/6/21,2017/6/22,2017/6/23,2017/6/26,2017/6/27,2017/6/28,2017/6/29,2017/6/30,2017/7/3,2017/7/4,2017/7/5,2017/7/6,2017/7/7,2017/7/10,2017/7/11,2017/7/12,2017/7/13,2017/7/14,2017/7/17,2017/7/18,2017/7/19,2017/7/20,2017/7/21,2017/7/24,2017/7/25,2017/7/26,2017/7/27,2017/7/28,2017/7/31,2017/8/1,2017/8/2,2017/8/3,2017/8/4,2017/8/7,2017/8/8,2017/8/9,2017/8/10,2017/8/11,2017/8/14,2017/8/15,2017/8/16,2017/8/17,2017/8/18,2017/8/21,2017/8/22,2017/8/23,2017/8/24,2017/8/25,2017/8/28,2017/8/29,2017/8/30,2017/8/31,2017/9/1,2017/9/4,2017/9/5,2017/9/6,2017/9/7,2017/9/8,2017/9/11,2017/9/12,2017/9/13,2017/9/14,2017/9/15,2017/9/18,2017/9/19,2017/9/20,2017/9/21,2017/9/22,2017/9/25,2017/9/26,2017/9/27,2017/9/28,2017/9/29,2017/10/9,2017/10/10,2017/10/11,2017/10/12,2017/10/13,2017/10/16,2017/10/17,2017/10/18,2017/10/19,2017/10/20,2017/10/23,2017/10/24,2017/10/25,2017/10/26,2017/10/27,2017/10/30,2017/10/31,2017/11/1,2017/11/2,2017/11/3
0,京东方Ａ,中国建筑,中国联通,贵州茅台,中国重工,中原证券,中国联通,京东方Ａ,中国建筑,中国平安,乐视网,乐视网,吉比特,乐视网,京东方Ａ,利君股份,中国建筑,中国银河,京东方Ａ,中国平安,利君股份,中国重工,中国建筑,中国建筑,中国建筑,天山股份,天山股份,天山股份,中国银河,格力电器,中原证券,百联股份,华友钴业,中国联通,宝钢股份,天山股份,中信国安,天山股份,乐视网,云意电气,科大讯飞,中国联通,中国联通,赣锋锂业,白银有色,网宿科技,网宿科技,中兴通讯,白银有色,白银有色,白银有色,白银有色,白银有色,中国建筑,中国建筑,中信国安,中国建筑,中国建筑,北方导航,中国建筑,中国建筑,新兴铸管,新兴铸管,中国建筑,华夏幸福,河钢股份,河钢股份,金隅股份,金隅股份,金隅股份,华夏幸福,华夏幸福,中国建筑,金隅股份,中国平安,金隅股份,河钢股份,河钢股份,先河环保,首创股份,新兴铸管,京东方Ａ,冀东装备,中国平安,中国平安,中国平安,创业环保,先河环保,首创股份,首创股份,东方能源,中国平安,中国平安,中国平安,中国平安,中国平安,中国平安,华夏幸福,中国平安,中国平安,中国平安,中国平安,格力电器,中国平安,中国平安,中国平安,中国平安,中国平安,中国平安,中国平安,创业环保,中国平安,中国平安,中国平安,格力电器,中国平安,兴业银行,科大讯飞,格力电器,科大讯飞,格力电器,中国平安,中国平安,科大讯飞,方大炭素,格力电器,科大讯飞,中国建筑,中国平安,中国平安,中国建筑,方大炭素,科大讯飞,中国平安,方大炭素,方大炭素,方大炭素,科大讯飞,方大炭素,北方稀土,中国平安,方大炭素,方大炭素,方大炭素,北方稀土,北方稀土,方大炭素,北方稀土,方大炭素,方大炭素,方大炭素,方大炭素,科大讯飞,科大讯飞,科大讯飞,方大炭素,中国联通,中国联通,科大讯飞,科大讯飞,科大讯飞,中国铝业,格力电器,方大炭素,方大炭素,科大讯飞,赣锋锂业,方大炭素,方大炭素,方大炭素,方大炭素,方大炭素,方大炭素,方大炭素,第一创业,科大讯飞,第一创业,中国联通,格力电器,盐湖股份,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,中国平安,格力电器,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,中国平安,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ,京东方Ａ
1,贵广网络,贵州茅台,*ST宝实,中国联通,中国建筑,南方航空,中国建筑,中国中冶,万 科Ａ,乐视网,万家文化,格力电器,太阳电缆,吉比特,乐视网,乐视网,中国联通,中国建筑,中国平安,湖南天雁,中国平安,中国联通,中原证券,中国银河,格力电器,格力电器,新兴铸管,中国银河,华安证券,中原证券,天山股份,天山股份,天山股份,格林美,君正集团,中信国安,君正集团,中信国安,赣锋锂业,赣锋锂业,广州发展,中国建筑,云意电气,天齐锂业,云意电气,云意电气,乐视网,中信国安,中原证券,天山股份,印纪传媒,天山股份,中国平安,格力电器,中国平安,中国建筑,东旭光电,西部建设,格力电器,海螺水泥,城投控股,中国建筑,中国建筑,棕榈股份,河钢股份,首创股份,首航节能,冀东水泥,华夏幸福,先河环保,金隅股份,金隅股份,华夏幸福,先河环保,金隅股份,首创股份,金隅股份,冀东水泥,金隅股份,金隅股份,首创股份,中国建筑,格力电器,冀东装备,格力电器,首创股份,冀东装备,首创股份,先河环保,创业环保,金隅股份,东方能源,京东方Ａ,格力电器,兴业银行,石化机械,京东方Ａ,中国平安,华夏幸福,盾安环境,格力电器,格力电器,中国平安,格力电器,格力电器,珠海港,格力电器,网宿科技,珠海港,格力电器,格力电器,格力电器,格力电器,格力电器,中国平安,格力电器,格力电器,中国平安,科大讯飞,格力电器,科大讯飞,科大讯飞,科大讯飞,方大炭素,科大讯飞,科大讯飞,中国平安,方大炭素,方大炭素,科大讯飞,方大炭素,科大讯飞,方大炭素,科大讯飞,北方稀土,科大讯飞,北方稀土,北方稀土,科大讯飞,河钢股份,北方稀土,北方稀土,第一创业,北方稀土,方大炭素,方大炭素,北方稀土,方大炭素,北方稀土,科大讯飞,科大讯飞,科大讯飞,方大炭素,中国平安,方大炭素,科大讯飞,方大炭素,方大炭素,方大炭素,中信证券,方大炭素,方大炭素,中国联通,科大讯飞,科大讯飞,方大炭素,科大讯飞,科大讯飞,科大讯飞,洛阳钼业,赣锋锂业,格林美,江特电机,中国建筑,中国平安,第一创业,格林美,盐湖股份,方大炭素,中国平安,盐湖股份,盐湖股份,光威复材,赣锋锂业,中兴通讯,京东方Ａ,方大炭素,中国平安,中国平安,中国平安,中国平安,中国平安,中兴通讯,赣锋锂业,中国平安,京东方Ａ,赣锋锂业,贵州茅台,中国平安,中国平安,方大炭素,中国平安,中国平安,中信国安
2,云南白药,贵广网络,云意电气,贝瑞基因,晋西车轴,东方航空,中原证券,中国联通,万家文化,中国建筑,北方导航,中国建筑,曙光股份,格力电器,太阳电缆,吉比特,奥瑞德,江西铜业,湖南天雁,中国建筑,三江购物,中国银河,湖南天雁,中国重工,天山股份,中国建筑,中国重工,华安证券,中原证券,中信国安,格力电器,中粮生化,百联股份,东方航空,格林美,格林美,顺丰控股,华铁科技,天齐锂业,格力电器,中国联通,广州发展,格林美,格力电器,中国联通,白银有色,白银有色,华安证券,中兴通讯,印纪传媒,天山股份,中国建筑,天山股份,白银有色,格力电器,赣锋锂业,中材国际,中材国际,乐视网,天齐锂业,中国铁建,北京城建,北新建材,北京城建,荣盛发展,新兴铸管,庞大集团,京汉股份,先河环保,格力电器,中国建筑,中国建筑,先河环保,华夏幸福,格力电器,先河环保,首创股份,金隅股份,冀东水泥,先河环保,京汉股份,中国平安,创业环保,先河环保,创业环保,先河环保,中国平安,金隅股份,金隅股份,东方能源,赣锋锂业,首创股份,格力电器,棕榈股份,石化机械,东方能源,第一创业,盾安环境,盾安环境,华夏幸福,华夏幸福,首创股份,国电南瑞,中国建筑,保变电气,天齐锂业,天齐锂业,格力电器,京东方Ａ,美的集团,中国平安,海康威视,招商银行,万 科Ａ,万 科Ａ,万 科Ａ,科大讯飞,京东方Ａ,京东方Ａ,中国平安,中国平安,格力电器,方大炭素,东旭光电,中国平安,方大炭素,方大炭素,北方稀土,中国建筑,方大炭素,中国平安,中信证券,格力电器,中国建筑,西水股份,西水股份,西水股份,方大炭素,北方稀土,西水股份,科大讯飞,第一创业,东方财富,河钢股份,中国铝业,中国铝业,中国铝业,科大讯飞,中国铝业,北方稀土,北方稀土,北方稀土,北方稀土,四维图新,中国平安,中国联通,科大讯飞,科大讯飞,中国联通,方大炭素,浙商证券,中国联通,方大炭素,北方稀土,中国神华,秦港股份,中国建筑,亿纬锂能,赣锋锂业,中国平安,格林美,赣锋锂业,赣锋锂业,万 科Ａ,中国联通,江特电机,盐湖股份,中国平安,盐湖股份,中兴通讯,东旭光电,赣锋锂业,方大炭素,中兴通讯,中国平安,青岛海尔,京东方Ａ,方大炭素,赣锋锂业,万华化学,格力电器,方大炭素,中国平安,中国平安,方大炭素,华贸物流,格力电器,中国平安,贵州茅台,中国联通,中国中车,中国建筑,科大讯飞,科大讯飞
3,中国建筑,格力电器,罗顿发展,*ST嘉陵,两面针,湖南天雁,三江购物,中国重工,中航黑豹,中信证券,湖南天雁,湖南天雁,京东方Ａ,京东方Ａ,中国重工,碧水源,利君股份,新亚制程,中国银河,利君股份,山东黄金,太阳电缆,中铁工业,中体产业,中国平安,乐视网,中国建筑,湖南天雁,天山股份,农业银行,永辉超市,中原证券,雅百特,雅百特,中信国安,华友钴业,中国联通,华安证券,天山股份,格林美,云意电气,云意电气,科大讯飞,天山股份,中信国安,万 科Ａ,天山股份,中国银河,华安证券,中原证券,中国平安,格力电器,中信国安,天山股份,中原证券,麦格米特,白银有色,天山股份,赣锋锂业,亿联网络,天齐锂业,北新建材,河钢股份,新兴铸管,新兴铸管,荣盛发展,荣盛发展,华夏幸福,首创股份,首创股份,河钢股份,京东方Ａ,金隅股份,首创股份,先河环保,中国平安,华夏幸福,华夏幸福,中化岩土,冀东水泥,中国建筑,华夏幸福,先河环保,创业环保,中国建筑,冀东装备,首创股份,创业环保,中国平安,先河环保,首创股份,格力电器,华夏幸福,兴业银行,浦发银行,华夏幸福,华夏幸福,中国建筑,格力电器,金隅股份,金隅股份,第一创业,伊利股份,珠海港,冀东装备,格力电器,中国建筑,贵州茅台,格力电器,创业环保,天齐锂业,掌趣科技,中国建筑,海康威视,京东方Ａ,京东方Ａ,中国平安,格力电器,浙商证券,中兴通讯,东旭光电,方大炭素,格力电器,中国平安,京东方Ａ,平安银行,格力电器,科大讯飞,西藏天路,平安银行,格力电器,中国建筑,洛阳钼业,方大炭素,江西铜业,格林美,江西铜业,西水股份,河钢股份,格林美,西水股份,冀东水泥,科大讯飞,中国铝业,河钢股份,科大讯飞,伊利股份,中国平安,中国平安,中国平安,中国平安,东方财富,东方财富,方大炭素,四维图新,中国平安,北方稀土,中国平安,中国平安,东方财富,东方证券,科大讯飞,中国铝业,中国建筑,北方稀土,赣锋锂业,亿纬锂能,秦港股份,格力电器,中国铝业,北方稀土,北方稀土,北方稀土,中国平安,方大炭素,万 科Ａ,比亚迪,第一创业,中兴通讯,赣锋锂业,比亚迪,中兴通讯,盐湖股份,盐湖股份,格力电器,盐湖股份,中国平安,格力电器,中兴通讯,中兴通讯,科大讯飞,格力电器,格力电器,昆仑万维,上港集团,格力电器,中国平安,格力电器,中国联通,贵州茅台,格力电器,中国联通,方大炭素,中国平安
4,中国联通,*ST昌鱼,中国建筑,两面针,中国联通,北方导航,*ST宝实,太钢不锈,中国重工,中国联通,中国平安,太阳电缆,中国联通,国海证券,格力电器,柘中股份,三江购物,柘中股份,中国重工,科大讯飞,中国建筑,中国船舶,中国重工,中国中车,中国银河,中国银河,中国平安,中原证券,太平洋,中国平安,中国建筑,华友钴业,中信国安,格力电器,格力电器,中原证券,天山股份,中原证券,华铁科技,多氟多,中信国安,中信国安,中国建筑,中国联通,格力电器,天山股份,云意电气,中国联通,中国银河,精达股份,格力电器,伊利股份,格力电器,中信国安,*ST青松,格力电器,中信国安,湖南天雁,天齐锂业,中国中冶,首创股份,天津港,北京城建,华夏幸福,中国建筑,中国建筑,新兴铸管,先河环保,冀东水泥,广州港,格力电器,首创股份,京东方Ａ,冀东水泥,华夏幸福,中国建筑,先河环保,首创股份,河钢股份,河钢股份,韩建河山,格力电器,中国平安,北新路桥,冀东装备,创业环保,先河环保,京东方Ａ,新兴铸管,恒泰艾普,保变电气,恒泰艾普,首创股份,京东方Ａ,第一创业,兴业银行,巨力索具,海康威视,中国建筑,华斯股份,美的集团,华夏幸福,京东方Ａ,海康威视,珠海港,赣锋锂业,珠海港,第一创业,创业环保,分众传媒,京东方Ａ,华夏幸福,海康威视,天齐锂业,中信证券,招商银行,美的集团,西部建设,中国平安,贵州茅台,海康威视,东旭光电,天齐锂业,格力电器,格力电器,中国平安,兴业银行,中国平安,洛阳钼业,中国建筑,科大讯飞,中国平安,中国平安,西水股份,中国平安,中国建筑,中国平安,河钢股份,昆仑万维,科大讯飞,万华化学,中国平安,北方稀土,中国平安,宝钢股份,盛和资源,盛和资源,中国铝业,科大讯飞,盛和资源,首创股份,盛和资源,盛和资源,盛和资源,中国铝业,四维图新,中国平安,赣锋锂业,中国铝业,四维图新,厦门国贸,中信证券,洛阳钼业,格力电器,国电电力,中国平安,中信国安,康得新,雅化集团,赣锋锂业,天齐锂业,天齐锂业,格林美,中信国安,京东方Ａ,盐湖股份,中国平安,江特电机,中国平安,中天科技,赣锋锂业,比亚迪,东旭光电,光威复材,盐湖股份,格力电器,赣锋锂业,中国联通,格力电器,第一创业,方大炭素,TCL 集团,第一创业,新 华 都,赣锋锂业,中兴通讯,华贸物流,中国中车,招商银行,中国中车,中兴通讯,格力电器,中国建筑,中兴通讯
5,欧菲光,*ST佳电,两面针,中国石化,*ST嘉陵,北化股份,南方航空,*ST宝实,太阳电缆,中国重工,凌云股份,五 粮 液,陕国投Ａ,中原证券,五 粮 液,中国石化,中国平安,吉比特,金科文化,吉比特,蒙草生态,湖南天雁,中国平安,中铁工业,中原证券,北新路桥,中国银河,中国核电,界龙实业,中国银河,中国平安,伊利股份,洛阳钼业,安正时尚,华友钴业,雅百特,圆通速递,中国银河,华友钴业,佛塑科技,赣锋锂业,赣锋锂业,格力电器,多氟多,赣锋锂业,赣锋锂业,格力电器,中原证券,中国联通,联络互动,中国神华,科大讯飞,中原证券,中国平安,天山股份,白银有色,赣锋锂业,白银有色,寒锐钴业,格力电器,中国中铁,荣盛发展,碧水源,北新建材,招商蛇口,碧水源,珠海港,河钢股份,河钢股份,中国建筑,广州港,碧水源,首创股份,贵州茅台,冀东水泥,华夏幸福,格力电器,先河环保,首创股份,中化岩土,格力电器,金隅股份,首创股份,金隅股份,先河环保,银龙股份,恒泰艾普,汉钟精机,河钢股份,金隅股份,恒泰艾普,中国建筑,中国建筑,华夏幸福,民生银行,中材节能,格力电器,第一创业,东方财富,兴业银行,赣锋锂业,金隅股份,珠海港,国电南瑞,国电南瑞,冀东装备,海康威视,五 粮 液,首创股份,珠海港,西部建设,五 粮 液,兴业银行,招商银行,科大讯飞,珠海港,万 科Ａ,海康威视,方大炭素,美的集团,贵州茅台,浙商证券,赣锋锂业,亿纬锂能,中国建筑,中信证券,平安银行,平安银行,科大讯飞,兴业银行,北方稀土,洛阳钼业,北方稀土,赣锋锂业,厦门国贸,中国平安,厦门国贸,格力电器,赣锋锂业,中国平安,河钢股份,天齐锂业,中国铝业,厦门国贸,盛和资源,南山铝业,华大基因,盛和资源,盛和资源,江粉磁材,盛和资源,江粉磁材,驰宏锌锗,北方稀土,北方稀土,北方稀土,西部证券,中国铝业,中国建筑,第一创业,中国铝业,厦门国贸,科大讯飞,中国铝业,四维图新,京东方Ａ,天齐锂业,东方财富,宝泰隆,天齐锂业,洛阳钼业,雅化集团,万 科Ａ,江特电机,格林美,中国平安,西藏矿业,方大炭素,赣锋锂业,方大炭素,方大炭素,方大炭素,科大讯飞,第一创业,中国联通,中兴通讯,万华化学,浙大网新,伊利股份,赣锋锂业,赣锋锂业,万华化学,贵州茅台,方大炭素,北新建材,畅联股份,长信科技,方大炭素,格力电器,方大炭素,中国平安,伊利股份,中国联通,贵州茅台
6,格力电器,友阿股份,中国重工,湖南天雁,湖南天雁,中国重工,中国重工,中国建筑,京东方Ａ,万家文化,中国联通,贵州茅台,亚通股份,两面针,奥瑞德,同力水泥,江西铜业,格力电器,江西铜业,同力水泥,通达股份,上峰水泥,云意电气,中原证券,酒钢宏兴,渝 开 发,中原证券,格力电器,格力电器,兴业银行,中国银河,格力电器,格力电器,华友钴业,中国建筑,湖南天雁,中铁工业,顺丰控股,中信国安,中信国安,科大智能,科大讯飞,富瀚微,云意电气,科大讯飞,格林美,赣锋锂业,兆易创新,天山股份,中国建筑,五 粮 液,尚品宅配,中材国际,中材国际,白银有色,中材国际,中原证券,北化股份,中国平安,中国动力,沧州明珠,棕榈股份,东旭光电,河钢股份,庞大集团,天齐锂业,棕榈股份,唐山港,中国建筑,河钢股份,先河环保,先河环保,格力电器,河钢股份,首创股份,冀东水泥,碧水源,碧水源,创业环保,冀东装备,先河环保,首创股份,京东方Ａ,首创股份,首创股份,金隅股份,韩建河山,新兴铸管,冀东水泥,庞大集团,苏垦农发,石化机械,贵州茅台,贵州茅台,中信证券,浦发银行,冀东装备,兴业银行,上海银行,常山药业,冀东装备,招商银行,华夏幸福,巨力索具,海康威视,保变电气,京东方Ａ,海康威视,海康威视,西部建设,美的集团,伊利股份,中信证券,中国建筑,赣锋锂业,美的集团,西部建设,兴业银行,中信国安,京东方Ａ,兴业银行,华友钴业,浙商证券,北方稀土,洛阳钼业,美的集团,中国建筑,中信证券,民生银行,民生银行,平安银行,格力电器,中国建筑,天齐锂业,康得新,厦门国贸,康得新,中国平安,天齐锂业,厦门钨业,苏宁云商,科大讯飞,洛阳钼业,洛阳钼业,东方财富,河钢股份,冀东水泥,冀东水泥,山东黄金,东方财富,长信科技,中国铝业,中国铝业,金隅股份,铁龙物流,中国铝业,江粉磁材,四维图新,东方财富,东方证券,中国银河,中国银河,中国建筑,四维图新,盛和资源,中国出版,秦港股份,万 科Ａ,洛阳钼业,科大讯飞,多氟多,西藏矿业,东旭光电,第一创业,万 科Ａ,赣锋锂业,赣锋锂业,科大讯飞,中天科技,格力电器,科大讯飞,东旭光电,赣锋锂业,中国平安,科大讯飞,方大炭素,中兴通讯,第一创业,万华化学,方大炭素,第一创业,世联行,赣锋锂业,中兴通讯,格力电器,赣锋锂业,科大讯飞,中兴通讯,五 粮 液,财通证券,贵州茅台,华友钴业,财通证券,中国建筑
7,中国重工,京东方Ａ,东方航空,铁龙物流,东方航空,太阳电缆,中国中冶,太阳电缆,中国联通,兴业银行,西仪股份,万家文化,云意电气,太阳电缆,中国平安,太阳电缆,太阳电缆,贵州茅台,中国船舶,中国重工,中金黄金,视源股份,中国银河,中国铁建,中国中车,中原证券,三江购物,中国建筑,中信证券,中国建筑,渝 开 发,金隅股份,福建水泥,中国建筑,中国联通,圆通速递,云意电气,张家港行,多氟多,天齐锂业,华友钴业,张家港行,罗顿发展,中信国安,重庆建工,中信国安,数据港,中航黑豹,重庆建工,尚品宅配,科大讯飞,中信国安,易事特,中国中车,西部建设,西部建设,西部建设,格力电器,白银有色,东旭光电,庞大集团,格力电器,荣盛发展,中国重工,棕榈股份,建投能源,中国建筑,新兴铸管,新兴铸管,碧水源,首创股份,河钢股份,碧水源,格力电器,河钢股份,格力电器,冀东水泥,创业环保,华夏幸福,碧水源,金隅股份,冀东装备,贵州茅台,格力电器,津膜科技,招商银行,银龙股份,恒泰艾普,千方科技,津膜科技,先河环保,京东方Ａ,招商银行,首创股份,中国建筑,中信证券,盾安环境,贵州茅台,先河环保,工商银行,盾安环境,美的集团,首创股份,华夏幸福,五 粮 液,京东方Ａ,赣锋锂业,珠海港,先河环保,五 粮 液,赣锋锂业,美的集团,美的集团,美的集团,东旭光电,海康威视,海康威视,冀东装备,美的集团,海康威视,冀东装备,天齐锂业,洛阳钼业,洛阳钼业,白银有色,兴业银行,京东方Ａ,兴业银行,北方稀土,格力电器,西藏天路,北方稀土,中信证券,洛阳钼业,格林美,赣锋锂业,格林美,厦门国贸,洛阳钼业,洛阳钼业,第一创业,河钢股份,宝泰隆,第一创业,南山铝业,厦门钨业,驰宏锌锗,五 粮 液,平安银行,赣锋锂业,赣锋锂业,海康威视,江粉磁材,冀东水泥,江粉磁材,盛和资源,四维图新,铁龙物流,北方稀土,中国平安,中信证券,北方稀土,格林美,中国联通,中国联通,天齐锂业,北方稀土,宝泰隆,秦港股份,中国联通,中科三环,中科三环,雅化集团,北方稀土,中信证券,方大炭素,江特电机,华天科技,第一创业,北方稀土,中国平安,宝泰隆,中科曙光,格林美,四维图新,中天科技,海康威视,中兴通讯,青岛海尔,科大讯飞,中兴通讯,伊利股份,方大炭素,格力电器,TCL 集团,贵州茅台,美的集团,中国建筑,工商银行,中兴通讯,科大讯飞,方大炭素,中国中车,中国中车
8,易事特,深纺织Ａ,深纺织Ａ,罗顿发展,中国船舶,中兵红箭,北方导航,华铁科技,中信证券,京东方Ａ,贵州茅台,西仪股份,西仪股份,湖南天雁,中国建筑,金科股份,丰林集团,湖南天雁,安信信托,江西铜业,烽火电子,利君股份,中国石化,上峰水泥,徐工机械,中国平安,格力电器,洛阳钼业,中国平安,美的集团,中信国安,祁连山,格林美,南方航空,云意电气,蒙草生态,申通快递,君正集团,航天电子,科大讯飞,江阴银行,国中水务,中原证券,格林美,保利地产,科大智能,中航黑豹,网宿科技,科达利,中兴通讯,中国建筑,重庆建工,伊利股份,中原证券,印纪传媒,中原证券,湖南天雁,连云港,新疆城建,长城汽车,中国中冶,凌云股份,天津港,格力电器,*ST坊展,棕榈股份,宝硕股份,荣盛发展,格力电器,冀东水泥,冀东水泥,广州港,葛洲坝,碧水源,中国建筑,碧水源,创业环保,巨力索具,广州港,华夏幸福,冀东水泥,先河环保,恒泰艾普,京东方Ａ,冀东水泥,北新路桥,中国建筑,冀东装备,格力电器,中国平安,创业环保,新兴铸管,东方能源,汉钟精机,招商银行,第一创业,贵州茅台,招商银行,华斯股份,中国银行,先河环保,京东方Ａ,盾安环境,美的集团,万 科Ａ,海康威视,华友钴业,北新路桥,洛阳钼业,京东方Ａ,珠海港,贵州茅台,五 粮 液,中兴通讯,美的集团,创业环保,京东方Ａ,美的集团,天齐锂业,方大炭素,美的集团,赣锋锂业,亿纬锂能,浙商证券,五 粮 液,洛阳钼业,万 科Ａ,雅化集团,西水股份,西水股份,洛阳钼业,中国铝业,东方证券,贵州茅台,科大讯飞,天齐锂业,科大讯飞,洛阳钼业,中科三环,中科三环,厦门钨业,中国铝业,格力电器,东方财富,中国平安,东方财富,中科三环,云铝股份,河钢股份,中国铝业,中国铝业,长信科技,厦门国贸,厦门国贸,盛和资源,赣锋锂业,盛和资源,北方稀土,中信证券,中国联通,第一创业,兴业银行,中国平安,洛阳钼业,中信国安,中国铝业,华友钴业,四维图新,横店东磁,横店东磁,科大讯飞,格力电器,天齐锂业,盐湖股份,赣锋锂业,中信国安,科达洁能,赣锋锂业,中国联通,中国联通,中国联通,天齐锂业,中兴通讯,安凯客车,比亚迪,第一创业,东旭光电,赣锋锂业,中科曙光,格力电器,北新建材,科大讯飞,中国联通,华友钴业,中国联通,世联行,畅联股份,赣锋锂业,中国中车,科大讯飞,天齐锂业,贵州茅台,天齐锂业,中国联通
9,美的集团,五 粮 液,格力电器,三江购物,中航飞机,中国建筑,东方航空,中原证券,中国中冶,农业银行,中国石化,柘中股份,中国石化,奥瑞德,利君股份,京东方Ａ,乐视网,铜陵有色,太阳电缆,京东方Ａ,同力水泥,中原证券,纳尔股份,格力电器,江西铜业,酒钢宏兴,云意电气,渝 开 发,国际实业,贵州茅台,华安证券,永辉超市,天齐锂业,洛阳钼业,天山股份,君正集团,华友钴业,中国建筑,顺丰控股,易事特,机器人,北方导航,太阳电缆,精达股份,天齐锂业,科大讯飞,蒙草生态,蒙草生态,云意电气,中信国安,尚品宅配,中南建设,山推股份,印纪传媒,中材国际,*ST青松,易事特,大连港,中国建筑,赣锋锂业,中国中车,宝硕股份,上海环境,碧水源,保变电气,梅雁吉祥,青龙管业,中国建筑,广州港,数字政通,上汽集团,格力电器,中国平安,荣盛发展,碧水源,创业环保,保变电气,格力电器,北新路桥,天山股份,华夏幸福,河钢股份,北新路桥,新兴铸管,华夏幸福,津膜科技,华夏幸福,中国平安,创业环保,冀东装备,建投能源,中化岩土,新兴铸管,招商银行,华夏幸福,三聚环保,创业环保,巨力索具,兴业银行,巨力索具,南国置业,中国建筑,巨力索具,中信证券,中国建筑,上汽集团,美的集团,美的集团,华友钴业,中信证券,首创股份,创业环保,天齐锂业,兴业银行,保利地产,五 粮 液,民生银行,恒生电子,西部建设,西部建设,五 粮 液,华兰生物,兴业银行,华友钴业,东旭光电,海康威视,天齐锂业,洛阳钼业,多氟多,洛阳钼业,中兴通讯,西藏天路,万华化学,格力电器,格力电器,洛阳钼业,格力电器,中国建筑,格林美,盛和资源,亿纬锂能,厦门钨业,中国平安,中泰化学,格力电器,宝钢股份,神火股份,华大基因,建投能源,首创股份,西水股份,赢时胜,机器人,西水股份,网宿科技,江粉磁材,中国铝业,盛和资源,四维图新,中国建筑,中国联通,华泰证券,伊利股份,盛和资源,中国平安,浙商证券,洛阳钼业,中国出版,华泰证券,亿纬锂能,雅化集团,江特电机,科大讯飞,赣锋锂业,盐湖股份,格力电器,雅化集团,比亚迪,江特电机,第一创业,格力电器,格林美,比亚迪,比亚迪,招商银行,科大讯飞,科大讯飞,万华化学,第一创业,兴业银行,美的集团,第一创业,科达洁能,万华化学,中兴通讯,方大炭素,盐湖股份,五 粮 液,方大炭素,招商银行,中国联通,中国中车,中兴通讯,赣锋锂业
