name	industry	location
京东方Ａ	元器件	北京
赣锋锂业	小金属	江西
中兴通讯	通信设备	深圳
盐湖股份	化工原料	青海
光威复材	化工原料	山东
第一创业	证券	深圳
中国平安	保险	深圳
格林美	小金属	深圳
安凯客车	汽车整车	安徽
比亚迪	汽车整车	深圳
中天科技	通信设备	江苏
伊利股份	乳制品	内蒙
鹏欣资源	铜	上海
科大讯飞	软件服务	安徽
中国联通	电信运营	上海
方大炭素	矿物制品	甘肃
士兰微	半导体	浙江
天齐锂业	小金属	四川
东旭光电	元器件	河北
盛屯矿业	小金属	福建
宝泰隆	焦炭加工	黑龙江
华友钴业	小金属	浙江
华泰证券	证券	江苏
中信证券	证券	深圳
江特电机	电气设备	江西
紫光国芯	元器件	河北
蒙草生态	环境保护	内蒙
中科曙光	电脑设备	天津
苏宁云商	电器连锁	江苏
烽火通信	通信设备	湖北
融钰集团	电气设备	吉林
格力电器	家用电器	广东
云铝股份	铝	云南
万华化学	化工原料	山东
五 粮 液	白酒	四川
亨通光电	通信设备	江苏
招商银行	银行	深圳
北新建材	其他建材	北京
贵州茅台	白酒	贵州
雅化集团	化工原料	四川
中国建筑	建筑施工	北京
美的集团	家用电器	广东
洛阳钼业	小金属	河南
*ST中安	软件服务	上海
畅联股份	仓储物流	上海
中国银河	证券	北京
科达洁能	专用机械	广东
长江通信	通信设备	湖北
通富微电	半导体	江苏
四维图新	软件服务	北京
华天科技	半导体	甘肃
天宇股份	化学制药	浙江
梅轮电梯	运输设备	浙江
东方财富	互联网	上海
万 科Ａ	全国地产	深圳
一汽轿车	汽车整车	吉林
诺德股份	电气设备	吉林
江西铜业	铜	江西
北方稀土	小金属	内蒙
武汉凡谷	通信设备	湖北
博汇纸业	造纸	山东
西藏矿业	小金属	西藏
浙商证券	证券	浙江
广东骏亚	元器件	广东
工商银行	银行	北京
海康威视	电器仪表	浙江
锡业股份	小金属	云南
吉大通信	通信设备	吉林
大唐电信	通信设备	北京
青岛海尔	家用电器	山东
晨鸣纸业	造纸	山东
中国巨石	玻璃	浙江
安阳钢铁	普钢	河南
天汽模	汽车配件	天津
中通国脉	通信设备	吉林
有研新材	半导体	北京
铁汉生态	环境保护	深圳
招商证券	证券	深圳
平安银行	银行	深圳
中通客车	汽车整车	山东
梦网集团	互联网	辽宁
中信国安	综合类	北京
多氟多	化工原料	河南
中科三环	元器件	北京
鲁西化工	农药化肥	山东
大族激光	电器仪表	深圳
尤夫股份	化纤	浙江
北京科锐	电气设备	北京
亿纬锂能	元器件	广东
中国太保	保险	上海
酒钢宏兴	普钢	甘肃
江淮汽车	汽车整车	安徽
海螺水泥	水泥	安徽
杉杉股份	电气设备	浙江
韶钢松山	钢加工	广东
英派斯	文教休闲	山东
广发证券	证券	广东
万向钱潮	汽车配件	浙江
国民技术	半导体	深圳
宜通世纪	通信设备	广东
国脉科技	电信运营	福建
亿联网络	通信设备	福建
兴业银行	银行	福建
旗滨集团	玻璃	湖南
长信科技	元器件	安徽
华新水泥	水泥	湖北
盛和资源	小金属	山西
华大基因	医疗保健	深圳
大华股份	电器仪表	浙江
厦门钨业	小金属	福建
神火股份	煤炭开采	河南
同济科技	综合类	上海
国泰君安	证券	上海
长安汽车	汽车整车	重庆
二六三	电信运营	北京
世联行	房产服务	深圳
新华保险	保险	北京
万马科技	通信设备	浙江
巨化股份	化工原料	浙江
恒信东方	通信设备	河北
华域汽车	汽车配件	上海
西水股份	保险	内蒙
电工合金	铜	江苏
富春股份	通信设备	福建
盛路通信	通信设备	广东
亿帆医药	化学制药	浙江
东阿阿胶	中成药	山东
山鹰纸业	造纸	安徽
紫光股份	软件服务	北京
索通发展	矿物制品	山东
紫金矿业	黄金	福建
太阳纸业	造纸	山东
三安光电	半导体	湖北
江丰电子	元器件	浙江
弘信电子	元器件	福建
横店东磁	元器件	浙江
万邦达	环境保护	北京
沧州大化	农药化肥	河北
凌钢股份	普钢	辽宁
酒鬼酒	白酒	湖南
云南白药	中成药	云南
建研院	建筑施工	江苏
中航黑豹	汽车整车	山东
太空板业	其他建材	北京
西藏城投	区域地产	西藏
新劲刚	矿物制品	广东
金轮股份	纺织机械	江苏
东方证券	证券	上海
隆基股份	半导体	陕西
保利地产	全国地产	广东
创源文化	文教休闲	浙江
康得新	化工原料	江苏
启迪设计	建筑施工	江苏
工大高新	综合类	黑龙江
永辉超市	超市连锁	福建
众泰汽车	汽车配件	安徽
欧菲光	元器件	深圳
中科信息	软件服务	四川
东风汽车	汽车整车	湖北
川恒股份	化工原料	贵州
寒锐钴业	小金属	江苏
光迅科技	通信设备	湖北
北京城建	区域地产	北京
华星创业	通信设备	浙江
洋河股份	白酒	江苏
深天马Ａ	元器件	深圳
隆华节能	专用机械	河南
汉王科技	电脑设备	北京
陕西煤业	煤炭开采	陕西
国电电力	火力发电	辽宁
中泰化学	化工原料	新疆
南钢股份	普钢	江苏
中源协和	生物制药	天津
上汽集团	汽车整车	上海
金隅股份	水泥	北京
兴业证券	证券	福建
宝钛股份	小金属	陕西
铁龙物流	铁路	辽宁
泸州老窖	白酒	四川
华舟应急	专用机械	湖北
中航飞机	航空	陕西
先河环保	环境保护	河北
金石资源	矿物制品	浙江
农业银行	银行	北京
津膜科技	专用机械	天津
中科创达	软件服务	北京
均胜电子	汽车配件	浙江
特发信息	通信设备	深圳
中环环保	环境保护	安徽
景兴纸业	造纸	浙江
东方园林	建筑施工	北京
网宿科技	电信运营	上海
中航机电	航空	湖北
藏格控股	农药化肥	青海
赛隆药业	化学制药	广东
当升科技	矿物制品	北京
通宇通讯	通信设备	广东
英飞特	半导体	浙江
复星医药	化学制药	上海
江龙船艇	船舶	广东
华脉科技	通信设备	江苏
上海临港	园区开发	上海
宁波华翔	汽车配件	浙江
中粮生化	农业综合	安徽
山西汾酒	白酒	山西
片仔癀	中成药	福建
水井坊	白酒	四川
盛弘股份	电气设备	深圳
海通证券	证券	上海
兴发集团	化工原料	湖北
冀东水泥	水泥	河北
融捷股份	专用机械	广东
达安股份	建筑施工	广东
盈方微	元器件	湖北
邦讯技术	通信设备	北京
桐昆股份	化纤	浙江
五矿资本	多元金融	湖南
国元证券	证券	安徽
纵横通信	通信设备	浙江
中国武夷	全国地产	福建
超讯通信	通信设备	广东
金龙汽车	汽车整车	福建
福田汽车	汽车整车	北京
双汇发展	食品	河南
嘉麟杰	服饰	上海
世纪鼎利	软件服务	广东
恒泰艾普	石油开采	北京
国金证券	证券	四川
华胜天成	软件服务	北京
中国银行	银行	北京
浪潮信息	电脑设备	山东
广宇发展	区域地产	天津
怡球资源	铝	江苏
锦龙股份	证券	广东
恒瑞医药	化学制药	江苏
瑞斯康达	通信设备	北京
分众传媒	影视音像	广东
宇通客车	汽车整车	河南
中国神华	煤炭开采	北京
欧比特	半导体	广东
广和通	通信设备	深圳
山东钢铁	普钢	山东
首创股份	环境保护	北京
民生银行	银行	北京
浙大网新	软件服务	浙江
兴源环境	环境保护	浙江
华夏幸福	区域地产	河北
东方铁塔	钢加工	山东
古井贡酒	白酒	安徽
潍柴动力	汽车配件	山东
四川双马	水泥	四川
*ST华菱	普钢	湖南
沱牌舍得	白酒	四川
河钢股份	普钢	河北
兆易创新	半导体	北京
建科院	建筑施工	深圳
天赐材料	化工原料	广东
跨境通	服饰	山西
中航高科	航空	江苏
新安股份	农药化肥	浙江
恒生电子	软件服务	浙江
吴通控股	通信设备	江苏
上海贝岭	半导体	上海
金禾实业	化工原料	安徽
国科微	半导体	湖南
同方股份	电脑设备	北京
达实智能	软件服务	深圳
中金岭南	铅锌	深圳
国轩高科	电气设备	江苏
美格智能	通信设备	深圳
山西焦化	焦炭加工	山西
西部证券	证券	陕西
阳 光 城	区域地产	福建
三环集团	元器件	广东
赢合科技	专用机械	深圳
精工钢构	钢加工	安徽
西山煤电	煤炭开采	山西
葛洲坝	建筑施工	湖北
科信技术	通信设备	深圳
瀛通通讯	通信设备	湖北
星网锐捷	通信设备	福建
天海防务	船舶	上海
章源钨业	小金属	江西
潞安环能	煤炭开采	山西
创业黑马	综合类	北京
三维通信	通信设备	浙江
东方通信	通信设备	浙江
隆平高科	种植业	湖南
金信诺	电气设备	深圳
大富科技	通信设备	深圳
博天环境	环境保护	北京
驰宏锌锗	铅锌	云南
动力源	电气设备	北京
众源新材	铜	安徽
上海医药	医药商业	上海
交通银行	银行	上海
超声电子	元器件	广东
北纬科技	互联网	北京
金溢科技	通信设备	深圳
杭州园林	建筑施工	浙江
北京君正	半导体	北京
微光股份	电气设备	浙江
云南铜业	铜	云南
曙光股份	汽车整车	辽宁
新 和 成	化学制药	浙江
三一重工	工程机械	湖南
海格通信	通信设备	广东
大秦铁路	铁路	山西
圆通速递	仓储物流	辽宁
道氏技术	陶瓷	广东
金银河	专用机械	广东
皇马科技	化工原料	浙江
通威股份	饲料	四川
方大特钢	特种钢	江西
黑猫股份	化工原料	江西
西部矿业	铜	青海
海立股份	机械基件	上海
久吾高科	环境保护	江苏
梦舟股份	铜	安徽
歌尔股份	元器件	山东
鞍钢股份	普钢	辽宁
马钢股份	普钢	安徽
科大国创	软件服务	安徽
昆仑万维	互联网	北京
青龙管业	塑料	宁夏
云意电气	汽车配件	江苏
露天煤业	煤炭开采	内蒙
中船科技	船舶	上海
光线传媒	影视音像	北京
冀东装备	机械基件	河北
木林森	半导体	广东
华菱星马	汽车整车	安徽
航天发展	通信设备	福建
信维通信	通信设备	深圳
劲嘉股份	广告包装	深圳
天通股份	元器件	浙江
光大银行	银行	北京
三江购物	超市连锁	浙江
冠农股份	农业综合	新疆
华丽家族	区域地产	上海
浙江东方	商贸代理	浙江
华北高速	路桥	北京
东华软件	软件服务	北京
新钢股份	钢加工	江西
顺丰控股	仓储物流	安徽
国盛金控	证券	广东
二三四五	软件服务	上海
华侨城Ａ	旅游景点	深圳
柳钢股份	普钢	广西
共进股份	通信设备	深圳
秦港股份	港口	河北
南山铝业	铝	山东
川金诺	化工原料	云南
中直股份	航空	黑龙江
元成股份	建筑施工	浙江
深 赛 格	元器件	深圳
天玑科技	软件服务	上海
清新环境	环境保护	北京
